"id";"ALUMNOS";"ESPANOL";"MATEMATICAS";"INGLES";"CIENCIAS_NATURALES";"HISTORIA";"EDUCACION_FISICA";"ARTES";"TECNOLOGIA";"NUM_FALTAS";"PARTICIPACIONES";"RENDIMIENTO"
59;"CARLA DIAZ CRUZ";50.0;55.0;53.0;54.0;52.0;60.0;56.0;55.0;26;1;"Malo"
60;"ALEJANDRO MORALES GARCIA";82.0;78.0;84.0;80.0;82.0;87.0;85.0;83.0;7;4;"Bueno"
61;"PATRICIA TORRES MARTINEZ";70.0;65.0;68.0;72.0;70.0;76.0;74.0;70.0;12;3;"Regular"
62;"LUIS RAMIREZ PEREZ";85.0;89.0;86.0;90.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
63;"MARTHA MARTINEZ HERNANDEZ";60.0;70.0;63.0;65.0;61.0;66.0;64.0;62.0;18;2;"Regular"
64;"RAUL PEREZ GARCIA";90.0;85.0;88.0;92.0;91.0;94.0;89.0;90.0;4;5;"Excelente"
65;"MONICA HERNANDEZ MARTINEZ";55.0;60.0;57.0;59.0;60.0;65.0;62.0;60.0;23;3;"Malo"
66;"MARIO LOPEZ RAMIREZ";78.0;82.0;80.0;84.0;83.0;87.0;82.0;85.0;8;4;"Bueno"
67;"ALMA SANCHEZ GARCIA";68.0;75.0;71.0;72.0;71.0;79.0;74.0;73.0;14;3;"Regular"
68;"ANTONIO MARTINEZ PEREZ";95.0;93.0;94.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
69;"REBECA DIAZ HERNANDEZ";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;27;1;"Malo"
70;"SANDRA MORALES CRUZ";82.0;79.0;84.0;81.0;83.0;87.0;85.0;82.0;7;4;"Bueno"
71;"DANIELA TORRES GARCIA";70.0;65.0;69.0;73.0;71.0;76.0;74.0;71.0;11;3;"Regular"
72;"ADRIAN RAMIREZ MARTINEZ";85.0;89.0;87.0;91.0;88.0;92.0;86.0;89.0;6;4;"Bueno"
73;"PAOLA MARTINEZ HERNANDEZ";60.0;70.0;65.0;66.0;61.0;67.0;64.0;63.0;17;2;"Regular"
74;"MARIO PEREZ GARCIA";90.0;85.0;88.0;91.0;92.0;95.0;88.0;90.0;4;5;"Excelente"
75;"DIANA HERNANDEZ MARTINEZ";55.0;60.0;57.0;59.0;60.0;65.0;61.0;59.0;22;3;"Malo"
76;"OSCAR LOPEZ RAMIREZ";78.0;82.0;80.0;85.0;84.0;88.0;83.0;86.0;7;4;"Bueno"
77;"CARMEN SANCHEZ MARTINEZ";68.0;75.0;71.0;73.0;72.0;80.0;75.0;72.0;13;3;"Regular"
78;"GERARDO MARTINEZ TORRES";95.0;92.0;93.0;94.0;96.0;97.0;95.0;94.0;3;5;"Excelente"
79;"CARLA DIAZ CRUZ";50.0;55.0;53.0;54.0;52.0;60.0;56.0;55.0;26;1;"Malo"
80;"ALEJANDRO MORALES GARCIA";82.0;78.0;84.0;80.0;82.0;87.0;85.0;83.0;7;4;"Bueno"
81;"PATRICIA TORRES MARTINEZ";70.0;65.0;68.0;72.0;70.0;76.0;74.0;70.0;12;3;"Regular"
82;"LUIS RAMIREZ PEREZ";85.0;89.0;86.0;90.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
83;"MARTHA MARTINEZ HERNANDEZ";60.0;70.0;63.0;65.0;61.0;66.0;64.0;62.0;18;2;"Regular"
84;"RAUL PEREZ GARCIA";90.0;85.0;88.0;92.0;91.0;94.0;89.0;90.0;4;5;"Excelente"
85;"YOLANDA HERNANDEZ MARTINEZ";55.0;60.0;57.0;59.0;60.0;65.0;62.0;60.0;23;3;"Malo"
86;"GUSTAVO LOPEZ RAMIREZ";78.0;82.0;80.0;84.0;83.0;87.0;82.0;85.0;8;4;"Bueno"
87;"MONICA SANCHEZ GARCIA";68.0;75.0;71.0;72.0;71.0;79.0;74.0;73.0;14;3;"Regular"
88;"ANTONIO MARTINEZ PEREZ";95.0;93.0;94.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
89;"REBECA DIAZ HERNANDEZ";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;27;1;"Malo"
90;"SANDRA MORALES CRUZ";82.0;79.0;84.0;81.0;83.0;87.0;85.0;82.0;7;4;"Bueno"
91;"DANIELA TORRES GARCIA";70.0;65.0;69.0;73.0;71.0;76.0;74.0;71.0;11;3;"Regular"
92;"ADRIAN RAMIREZ MARTINEZ";85.0;89.0;87.0;91.0;88.0;92.0;86.0;89.0;6;4;"Bueno"
93;"PAOLA MARTINEZ HERNANDEZ";60.0;70.0;65.0;66.0;61.0;67.0;64.0;63.0;17;2;"Regular"
94;"MARIO PEREZ GARCIA";90.0;85.0;88.0;91.0;92.0;95.0;88.0;90.0;4;5;"Excelente"
95;"DIANA HERNANDEZ MARTINEZ";55.0;60.0;57.0;59.0;60.0;65.0;61.0;59.0;22;3;"Malo"
96;"OSCAR LOPEZ RAMIREZ";78.0;82.0;80.0;85.0;84.0;88.0;83.0;86.0;7;4;"Bueno"
97;"CARMEN SANCHEZ MARTINEZ";68.0;75.0;71.0;73.0;72.0;80.0;75.0;72.0;13;3;"Regular"
98;"GERARDO MARTINEZ TORRES";95.0;92.0;93.0;94.0;96.0;97.0;95.0;94.0;3;5;"Excelente"
99;"CARLA DIAZ CRUZ";50.0;55.0;53.0;54.0;52.0;60.0;56.0;55.0;26;1;"Malo"
100;"MIGUEL ANGEL LOPEZ FERNANDEZ";88.0;92.0;85.0;89.0;90.0;95.0;87.0;90.0;4;4;"Bueno"
101;"LORENA GARCIA PEREZ";60.0;68.0;64.0;62.0;58.0;61.0;65.0;68.0;17;2;"Regular"
102;"JUAN PABLO MARTINEZ SANCHEZ";90.0;87.0;88.0;91.0;92.0;93.0;89.0;91.0;3;5;"Excelente"
103;"SOFIA RAMIREZ GONZALEZ";55.0;63.0;58.0;59.0;57.0;64.0;61.0;60.0;21;3;"Malo"
104;"RICARDO PEREZ LOPEZ";78.0;81.0;80.0;84.0;83.0;88.0;82.0;85.0;7;4;"Bueno"
105;"ALEJANDRA HERNANDEZ MARTINEZ";68.0;75.0;72.0;71.0;70.0;79.0;75.0;73.0;14;3;"Regular"
106;"VICTOR HERRERA MORALES";95.0;94.0;96.0;93.0;94.0;97.0;96.0;94.0;3;5;"Excelente"
107;"MARIA FERNANDA CRUZ TORRES";50.0;56.0;52.0;53.0;54.0;61.0;57.0;55.0;26;1;"Malo"
108;"RAFAEL GOMEZ DIAZ";82.0;79.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
109;"CLARA FLORES MARTINEZ";70.0;68.0;69.0;72.0;70.0;75.0;73.0;71.0;11;3;"Regular"
110;"DIEGO MENDOZA VAZQUEZ";85.0;88.0;87.0;90.0;89.0;92.0;86.0;88.0;5;4;"Bueno"
111;"LUCIA RIVERA HERRERA";60.0;67.0;65.0;63.0;61.0;67.0;64.0;63.0;18;2;"Regular"
112;"ANTONIO JIMENEZ RAMIREZ";90.0;87.0;89.0;91.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
113;"VERONICA MARTINEZ GONZALEZ";55.0;60.0;58.0;57.0;60.0;65.0;62.0;60.0;22;3;"Malo"
114;"GABRIELA VAZQUEZ PEREZ";78.0;83.0;80.0;85.0;84.0;89.0;82.0;84.0;7;4;"Bueno"
115;"ARTURO LOPEZ MARTINEZ";68.0;75.0;71.0;72.0;70.0;79.0;74.0;73.0;13;3;"Regular"
116;"VALERIA GUTIERREZ MORALES";95.0;93.0;96.0;92.0;94.0;97.0;95.0;94.0;3;5;"Excelente"
117;"SANTIAGO DIAZ TORRES";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;27;1;"Malo"
118;"EMILIANO CRUZ HERNANDEZ";82.0;78.0;84.0;81.0;82.0;87.0;85.0;83.0;7;4;"Bueno"
119;"ISABEL RAMIREZ LOPEZ";70.0;65.0;69.0;73.0;71.0;76.0;74.0;70.0;12;3;"Regular"
120;"LUIS FERNANDO MARTINEZ PEREZ";85.0;88.0;86.0;90.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
121;"CARLA VILLARREAL GARCIA";60.0;70.0;63.0;65.0;62.0;66.0;64.0;62.0;18;2;"Regular"
122;"ALBERTO HERNANDEZ RAMIREZ";90.0;87.0;88.0;92.0;91.0;94.0;89.0;90.0;4;5;"Excelente"
123;"MONSERRAT PEREZ GONZALEZ";55.0;60.0;57.0;58.0;59.0;65.0;61.0;60.0;23;3;"Malo"
124;"PATRICIA RUIZ MARTINEZ";78.0;82.0;80.0;84.0;83.0;88.0;82.0;85.0;8;4;"Bueno"
125;"ROBERTO MORALES CRUZ";68.0;75.0;70.0;73.0;71.0;80.0;75.0;72.0;13;3;"Regular"
126;"ALEXANDRA GONZALEZ DIAZ";95.0;92.0;94.0;93.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
127;"JORGE FERNANDEZ LOPEZ";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;26;1;"Malo"
128;"ANDREA RAMIREZ PEREZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
129;"SERGIO MARTINEZ HERNANDEZ";70.0;68.0;69.0;72.0;70.0;75.0;73.0;71.0;11;3;"Regular"
130;"ANGELICA GUTIERREZ MARTINEZ";85.0;88.0;87.0;90.0;89.0;92.0;86.0;88.0;5;4;"Bueno"
131;"RAUL CRUZ PEREZ";60.0;67.0;65.0;63.0;61.0;67.0;64.0;63.0;18;2;"Regular"
132;"GUADALUPE DIAZ MARTINEZ";90.0;87.0;89.0;91.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
133;"CAMILA HERNANDEZ LOPEZ";55.0;60.0;58.0;57.0;60.0;65.0;62.0;60.0;22;3;"Malo"
134;"DAVID GARCIA GONZALEZ";78.0;83.0;80.0;85.0;84.0;89.0;82.0;84.0;7;4;"Bueno"
135;"VALENTINA MARTINEZ PEREZ";68.0;75.0;71.0;72.0;70.0;79.0;74.0;73.0;13;3;"Regular"
136;"MARIO LOPEZ RAMIREZ";95.0;94.0;96.0;93.0;94.0;97.0;96.0;94.0;3;5;"Excelente"
137;"FATIMA GUTIERREZ DIAZ";50.0;56.0;52.0;53.0;54.0;61.0;57.0;55.0;26;1;"Malo"
138;"PEDRO CRUZ TORRES";82.0;79.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
139;"JULIETA MARTINEZ HERNANDEZ";70.0;65.0;69.0;73.0;71.0;76.0;74.0;70.0;12;3;"Regular"
140;"CARLOS RAMIREZ PEREZ";85.0;88.0;86.0;90.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
141;"ELENA GARCIA MARTINEZ";60.0;70.0;63.0;65.0;62.0;66.0;64.0;62.0;18;2;"Regular"
142;"MIGUEL HERNANDEZ GONZALEZ";90.0;87.0;88.0;92.0;91.0;94.0;89.0;90.0;4;5;"Excelente"
143;"SOFIA PEREZ RAMIREZ";55.0;60.0;57.0;58.0;59.0;65.0;61.0;60.0;23;3;"Malo"
144;"JUAN MARTINEZ LOPEZ";78.0;82.0;80.0;84.0;83.0;88.0;82.0;85.0;8;4;"Bueno"
145;"LILIANA CRUZ HERRERA";68.0;75.0;70.0;73.0;71.0;80.0;75.0;72.0;13;3;"Regular"
146;"OMAR RAMIREZ GONZALEZ";95.0;92.0;94.0;93.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
147;"SUSANA HERNANDEZ MARTINEZ";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;27;1;"Malo"
148;"EDUARDO GARCIA PEREZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
149;"PATRICIA MARTINEZ HERNANDEZ";70.0;68.0;69.0;72.0;70.0;75.0;73.0;71.0;11;3;"Regular"
150;"GERARDO HERRERA MORALES";85.0;88.0;87.0;90.0;89.0;92.0;86.0;88.0;5;4;"Bueno"
151;"ROCIO CRUZ GUTIERREZ";60.0;67.0;65.0;63.0;61.0;67.0;64.0;63.0;18;2;"Regular"
152;"FELIPE MARTINEZ PEREZ";90.0;87.0;89.0;91.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
153;"ELSA RAMIREZ GONZALEZ";55.0;60.0;58.0;57.0;60.0;65.0;62.0;60.0;22;3;"Malo"
154;"RICARDO GONZALEZ HERNANDEZ";78.0;83.0;80.0;85.0;84.0;89.0;82.0;84.0;7;4;"Bueno"
155;"INES LOPEZ MARTINEZ";68.0;75.0;71.0;72.0;70.0;79.0;74.0;73.0;13;3;"Regular"
156;"MANUEL CRUZ RAMIREZ";95.0;94.0;96.0;93.0;94.0;97.0;96.0;94.0;3;5;"Excelente"
157;"ALEJANDRA MARTINEZ GONZALEZ";50.0;56.0;52.0;53.0;54.0;61.0;57.0;55.0;26;1;"Malo"
158;"SERGIO RAMIREZ PEREZ";82.0;79.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
159;"JESSICA MARTINEZ HERNANDEZ";70.0;65.0;69.0;73.0;71.0;76.0;74.0;70.0;12;3;"Regular"
160;"VICTOR HERRERA GUTIERREZ";85.0;88.0;86.0;90.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
161;"MARIA PEREZ MARTINEZ";60.0;70.0;63.0;65.0;61.0;66.0;64.0;62.0;18;2;"Regular"
162;"ANDRES RAMIREZ HERNANDEZ";90.0;87.0;88.0;92.0;91.0;94.0;89.0;90.0;4;5;"Excelente"
163;"ELIZABETH GONZALEZ PEREZ";55.0;60.0;57.0;58.0;59.0;65.0;61.0;60.0;23;3;"Malo"
164;"ALEJANDRO LOPEZ RAMIREZ";78.0;82.0;80.0;84.0;83.0;88.0;82.0;85.0;8;4;"Bueno"
165;"LORENA CRUZ MARTINEZ";68.0;75.0;70.0;73.0;71.0;80.0;75.0;72.0;13;3;"Regular"
166;"OMAR HERNANDEZ GUTIERREZ";95.0;92.0;94.0;93.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
167;"VERONICA RAMIREZ MARTINEZ";50.0;55.0;54.0;53.0;52.0;60.0;57.0;55.0;27;1;"Malo"
168;"JUAN GONZALEZ PEREZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
169;"MONICA MARTINEZ HERNANDEZ";70.0;68.0;69.0;72.0;70.0;75.0;73.0;71.0;11;3;"Regular"
170;"RAFAEL HERRERA CRUZ";85.0;88.0;87.0;90.0;89.0;92.0;86.0;88.0;5;4;"Bueno"
171;"CAMILA PEREZ MARTINEZ";60.0;67.0;65.0;63.0;61.0;67.0;64.0;63.0;18;2;"Regular"
172;"GUADALUPE RAMIREZ HERNANDEZ";90.0;87.0;89.0;91.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
173;"DAVID GONZALEZ MARTINEZ";55.0;60.0;58.0;57.0;60.0;65.0;62.0;60.0;22;3;"Malo"
174;"MARTA LOPEZ PEREZ";78.0;83.0;80.0;85.0;84.0;89.0;82.0;84.0;7;4;"Bueno"
175;"JORGE CRUZ RAMIREZ";68.0;75.0;71.0;72.0;70.0;79.0;74.0;73.0;13;3;"Regular"
176;"FELIPE HERNANDEZ MARTINEZ";95.0;94.0;96.0;93.0;94.0;97.0;96.0;94.0;3;5;"Excelente"
177;"MONSERRAT RAMIREZ PEREZ";50.0;56.0;52.0;53.0;54.0;61.0;57.0;55.0;26;1;"Malo"
178;"FERNANDO GOMEZ LOPEZ";85.0;87.0;82.0;90.0;88.0;91.0;84.0;86.0;5;4;"Bueno"
179;"LUISA MARTINEZ PEREZ";63.0;72.0;70.0;68.0;65.0;71.0;66.0;67.0;15;3;"Regular"
180;"ENRIQUE RIVERA MARTINEZ";91.0;89.0;90.0;93.0;92.0;95.0;88.0;89.0;4;5;"Excelente"
181;"PATRICIA LOPEZ GARCIA";54.0;59.0;60.0;58.0;57.0;63.0;62.0;60.0;20;2;"Malo"
182;"CARLOS HERNANDEZ RAMIREZ";79.0;82.0;81.0;84.0;85.0;87.0;82.0;83.0;8;4;"Bueno"
183;"SANDRA VAZQUEZ GUTIERREZ";69.0;74.0;72.0;71.0;70.0;78.0;74.0;73.0;12;3;"Regular"
184;"DANIEL GUTIERREZ FLORES";96.0;94.0;97.0;92.0;95.0;96.0;95.0;93.0;3;5;"Excelente"
185;"MARIA DEL CARMEN MORALES RIVERA";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;25;1;"Malo"
186;"ALFONSO PEREZ HERRERA";83.0;81.0;85.0;80.0;83.0;84.0;81.0;82.0;6;4;"Bueno"
187;"ROSARIO RAMIREZ TORRES";68.0;67.0;69.0;70.0;71.0;73.0;72.0;71.0;11;3;"Regular"
188;"JORGE MARTINEZ RAMIREZ";88.0;86.0;87.0;90.0;89.0;92.0;85.0;88.0;5;4;"Bueno"
189;"ESTELA DIAZ MARTINEZ";62.0;66.0;64.0;63.0;61.0;65.0;63.0;64.0;18;2;"Regular"
190;"ROBERTO GOMEZ PEREZ";90.0;88.0;89.0;91.0;93.0;94.0;88.0;90.0;4;5;"Excelente"
191;"ALEJANDRA HERNANDEZ GUTIERREZ";56.0;58.0;59.0;57.0;60.0;62.0;60.0;59.0;21;3;"Malo"
192;"JAIME PEREZ LOPEZ";77.0;81.0;79.0;83.0;82.0;85.0;80.0;81.0;7;4;"Bueno"
193;"VALERIA RAMIREZ MARTINEZ";66.0;72.0;70.0;68.0;69.0;73.0;71.0;70.0;13;3;"Regular"
194;"JAVIER HERRERA FLORES";95.0;93.0;96.0;94.0;97.0;98.0;95.0;94.0;3;5;"Excelente"
195;"REBECA GUTIERREZ HERNANDEZ";52.0;56.0;55.0;54.0;53.0;60.0;57.0;56.0;26;1;"Malo"
196;"PABLO LOPEZ MARTINEZ";82.0;80.0;84.0;81.0;82.0;86.0;83.0;82.0;7;4;"Bueno"
197;"MONICA MARTINEZ PEREZ";67.0;69.0;68.0;72.0;70.0;75.0;72.0;71.0;12;3;"Regular"
198;"ANDRES GOMEZ HERNANDEZ";85.0;88.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
199;"LAURA HERNANDEZ RAMIREZ";60.0;65.0;63.0;62.0;61.0;67.0;64.0;63.0;19;2;"Regular"
200;"SERGIO MARTINEZ GARCIA";91.0;89.0;88.0;92.0;94.0;95.0;89.0;90.0;4;5;"Excelente"
201;"ISABEL PEREZ MARTINEZ";55.0;60.0;57.0;58.0;59.0;64.0;62.0;60.0;22;3;"Malo"
202;"FERNANDA LOPEZ GUTIERREZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
203;"RAMIRO RAMIREZ FLORES";67.0;73.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
204;"MARCOS HERNANDEZ PEREZ";95.0;92.0;94.0;93.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
205;"ANA GUTIERREZ MARTINEZ";51.0;55.0;54.0;52.0;53.0;60.0;58.0;55.0;26;1;"Malo"
206;"ALFREDO MARTINEZ GARCIA";82.0;79.0;83.0;80.0;83.0;85.0;84.0;81.0;7;4;"Bueno"
207;"CLARA GONZALEZ PEREZ";70.0;68.0;69.0;73.0;71.0;76.0;74.0;70.0;11;3;"Regular"
208;"DAVID RAMIREZ HERNANDEZ";87.0;89.0;86.0;88.0;91.0;93.0;85.0;88.0;5;4;"Bueno"
209;"VICTORIA HERNANDEZ FLORES";62.0;67.0;65.0;64.0;63.0;68.0;64.0;63.0;18;2;"Regular"
210;"RAUL MARTINEZ PEREZ";90.0;87.0;89.0;91.0;92.0;95.0;89.0;90.0;4;5;"Excelente"
211;"LILIANA GUTIERREZ RAMIREZ";54.0;59.0;58.0;57.0;56.0;63.0;61.0;59.0;23;3;"Malo"
212;"ARMANDO PEREZ HERNANDEZ";77.0;80.0;78.0;82.0;81.0;84.0;79.0;80.0;8;4;"Bueno"
213;"ROCIO GOMEZ FLORES";66.0;72.0;70.0;68.0;69.0;73.0;71.0;70.0;12;3;"Regular"
214;"LUIS HERNANDEZ GARCIA";96.0;94.0;95.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
